id,departure city,discount,price,no of items,location,class,segment,sub-class,delivery type,RID,profit,delivery date,address code,departure state,placement date
1445,Buffalo,0.2,2152.776,3,East,kariox,Consumer,headset,Standard Class,6535,726.5619,2018-11-01,14215,New York,2018-11-01
1446,Newark,0,124.41,3,East,qexty,Corporate,shorts,Standard Class,3072,14.9292,2018-11-01,19711,Delaware,2018-11-01
1447,Moorhead,0,479.9,5,Central,qexty,Home Office,tshirts,Standard Class,2093,81.583,2018-11-01,56560,Minnesota,2018-11-01
1448,Los Angeles,0,344.91,3,West,kariox,Corporate,laptop,First Class,8711,10.3473,2018-11-01,90008,California,2018-11-01
1449,Los Angeles,0.15,305.9745,3,West,qexty,Corporate,pants,First Class,8710,25.1979,2018-11-01,90008,California,2018-11-01
1450,Los Angeles,0.2,79.968,4,West,fynota,Corporate,colddrinks,First Class,8709,-17.9928,2018-11-01,90008,California,2018-11-01
1451,Decatur,0.3,37.296,2,Central,qexty,Consumer,tshirts,Standard Class,5304,-1.0656,2018-11-01,62521,Illinois,2018-11-01
1452,Huntington Beach,0,5.22,2,West,kariox,Corporate,tablet,Standard Class,4983,2.4012,2018-11-01,92646,California,2018-11-01
1453,Mesquite,0.6,6.368,2,Central,qexty,Corporate,shorts,Standard Class,3708,-2.5472,2018-11-01,75150,Texas,2018-11-01
1454,Newark,0,2934.33,7,East,kariox,Corporate,laptop,Standard Class,3071,792.2691,2018-11-01,19711,Delaware,2018-11-01
1455,Monroe,0,503.96,4,South,fynota,Home Office,colddrinks,Second Class,183,131.0296,2018-11-01,71203,Louisiana,2018-11-01
1456,Buffalo,0.2,4007.84,10,East,qexty,Consumer,pants,Standard Class,6536,-50.098,2018-11-01,14215,New York,2018-11-01
1457,Louisville,0.5,145.98,2,West,qexty,Consumer,hoodies,Second Class,2438,-99.2664,2018-11-01,80027,Colorado,2018-11-01
1458,Seattle,0,137.54,2,West,qexty,Corporate,shorts,Standard Class,9637,55.016,2018-11-01,98105,Washington,2018-11-01
1459,Franklin,0,392.94,3,Central,qexty,Corporate,tshirts,Standard Class,9285,43.2234,2018-11-01,53132,Wisconsin,2018-11-01
1460,Minneapolis,0,67.15,5,Central,kariox,Corporate,laptop,Second Class,8844,16.7875,2018-11-01,55407,Minnesota,2018-11-01
1461,Des Plaines,0.2,381.72,5,Central,kariox,Consumer,laptop,First Class,7303,-66.801,2018-11-01,60016,Illinois,2018-11-01
1462,Des Plaines,0.8,2.892,3,Central,kariox,Consumer,headset,First Class,7302,-4.9164,2018-11-01,60016,Illinois,2018-11-01
1463,Des Plaines,0.3,424.116,6,Central,qexty,Consumer,pants,First Class,7301,-30.294,2018-11-01,60016,Illinois,2018-11-01
1464,Des Plaines,0.6,8.544,2,Central,qexty,Consumer,shorts,First Class,7300,-7.476,2018-11-01,60016,Illinois,2018-11-01
1465,New York City,0,34.44,3,East,kariox,Home Office,phone,Second Class,9461,17.22,2018-11-01,10024,New York,2018-11-01
1466,Des Plaines,0.5,292.1,4,Central,qexty,Consumer,hoodies,First Class,7299,-175.26,2018-11-01,60016,Illinois,2018-11-01
1467,Fairfield,0.7,11.808,8,East,kariox,Consumer,headset,Second Class,4908,-8.6592,2018-11-01,45014,Ohio,2018-11-01
1468,Chicago,0.8,14.48,5,Central,kariox,Corporate,headset,Standard Class,4131,-23.892,2018-11-01,60623,Illinois,2018-11-01
1469,Philadelphia,0.7,1.944,3,East,kariox,Consumer,headset,Standard Class,3304,-1.4256,2018-11-01,19140,Pennsylvania,2018-11-01
1470,Philadelphia,0.2,60.312,3,East,qexty,Consumer,shorts,Standard Class,3303,5.2773,2018-11-01,19140,Pennsylvania,2018-11-01
1471,Philadelphia,0.4,539.964,6,East,fynota,Consumer,colddrinks,Standard Class,3302,-107.9928,2018-11-01,19140,Pennsylvania,2018-11-01
1472,Philadelphia,0.2,76.792,1,East,kariox,Consumer,laptop,Standard Class,3301,-16.3183,2018-11-01,19140,Pennsylvania,2018-11-01
1473,Philadelphia,0.7,50.997,1,East,kariox,Consumer,headset,Standard Class,3300,-40.7976,2018-11-01,19140,Pennsylvania,2018-11-01
1474,Provo,0,21.98,7,West,kariox,Corporate,phone,Second Class,5396,9.891,2018-11-01,84604,Utah,2018-11-01
1475,Mesquite,0.8,34.176,3,Central,kariox,Corporate,battery,Standard Class,3709,-87.1488,2018-11-01,75150,Texas,2018-11-01
1476,Los Angeles,0.2,725.344,4,West,qexty,Consumer,tshirts,Standard Class,7622,54.4008,2018-11-01,90004,California,2018-11-01
1477,Philadelphia,0.2,62.808,3,East,kariox,Corporate,watch,Standard Class,4809,21.1977,2018-11-01,19134,Pennsylvania,2018-11-01
1478,Freeport,0.2,17.248,2,East,kariox,Consumer,headset,Second Class,3952,6.0368,2018-11-01,11520,New York,2018-11-01
1479,Montgomery,0,14.67,3,South,kariox,Consumer,television,Standard Class,2198,3.9609,2018-12-01,36116,Alabama,2018-11-01
1480,Buffalo,0,199.9,5,East,qexty,Corporate,shorts,Standard Class,9428,39.98,2018-12-01,14215,New York,2018-11-01
1481,New York City,0,3.76,2,East,kariox,Consumer,lighting,Standard Class,1486,1.316,2018-12-01,10035,New York,2018-11-01
1482,Fresno,0.2,7.312,1,West,kariox,Corporate,headset,Standard Class,8602,2.5592,2018-12-01,93727,California,2018-11-01
1483,Fresno,0,40.54,2,West,kariox,Corporate,battery,Standard Class,8601,11.3512,2018-12-01,93727,California,2018-11-01
1484,Fresno,0,14.94,3,West,kariox,Corporate,phone,Standard Class,8600,7.0218,2018-12-01,93727,California,2018-11-01
1485,Columbia,0,397.6,5,South,qexty,Corporate,shorts,Second Class,5193,43.736,2018-12-01,29203,South Carolina,2018-11-01
1486,Fresno,0.2,4.32,3,West,kariox,Corporate,headset,Standard Class,8599,1.512,2018-12-01,93727,California,2018-11-01
1487,Utica,0,93.15,9,East,kariox,Consumer,tablet,Same Day,5819,44.712,2018-11-01,13501,New York,2018-11-01
1488,Utica,0.2,17.088,4,East,kariox,Consumer,headset,Same Day,5818,5.7672,2018-11-01,13501,New York,2018-11-01
1489,Utica,0.2,12.912,3,East,kariox,Consumer,headset,Same Day,5817,4.6806,2018-11-01,13501,New York,2018-11-01
1490,Utica,0,279.96,4,East,fynota,Consumer,colddrinks,Same Day,5816,78.3888,2018-11-01,13501,New York,2018-11-01
1491,San Francisco,0,81.98,2,West,kariox,Home Office,phone,Standard Class,5229,40.1702,2018-12-01,94109,California,2018-11-01
1492,Tigard,0.2,438.336,4,West,fynota,Consumer,colddrinks,Standard Class,1638,-87.6672,2018-12-01,97224,Oregon,2018-11-01
1493,Tigard,0.2,669.08,5,West,kariox,Consumer,laptop,Standard Class,1637,-167.27,2018-12-01,97224,Oregon,2018-11-01
1494,Utica,0,11.52,4,East,kariox,Consumer,tablet,Same Day,5820,5.6448,2018-11-01,13501,New York,2018-11-01
1495,Tigard,0.2,15.552,3,West,kariox,Consumer,phone,Standard Class,1636,5.4432,2018-12-01,97224,Oregon,2018-11-01
1496,Columbia,0,85.96,7,South,kariox,Corporate,phone,Second Class,5194,40.4012,2018-12-01,29203,South Carolina,2018-11-01
1497,Columbia,0,45.66,3,South,kariox,Corporate,headset,Second Class,5196,22.3734,2018-12-01,29203,South Carolina,2018-11-01
1498,Avondale,0.2,102.24,4,West,fynota,Consumer,chocolates,Standard Class,9196,-16.614,2018-12-01,85323,Arizona,2018-11-01
1499,Avondale,0.2,47.992,7,West,kariox,Consumer,charger,Standard Class,9195,3.5994,2018-12-01,85323,Arizona,2018-11-01
1500,Orlando,0.7,6.642,9,South,kariox,Corporate,headset,Standard Class,7616,-4.428,2018-12-01,32839,Florida,2018-11-01
1501,Mount Vernon,0,62.28,4,East,kariox,Consumer,watch,Standard Class,4216,29.2716,2018-12-01,10550,New York,2018-11-01
1502,New York City,0,25.06,2,East,kariox,Consumer,tablet,Standard Class,7786,11.7782,2018-12-01,10009,New York,2018-11-01
1503,San Francisco,0,30.4,5,West,kariox,Consumer,lighting,Standard Class,4417,15.2,2018-12-01,94122,California,2018-11-01
1504,San Francisco,0.2,575.92,2,West,fynota,Consumer,colddrinks,Standard Class,4416,71.99,2018-12-01,94122,California,2018-11-01
1505,Columbia,0,13.12,4,South,kariox,Corporate,television,Second Class,5195,4.3296,2018-12-01,29203,South Carolina,2018-11-01
1506,Skokie,0.2,12.624,2,Central,kariox,Corporate,lighting,Standard Class,1643,3.945,2018-12-01,60076,Illinois,2018-11-01
1507,Richmond,0,64.02,6,Central,kariox,Corporate,watch,Standard Class,9677,29.4492,2018-12-01,47374,Indiana,2018-11-01
1508,Houston,0.4,998.85,5,Central,fynota,Consumer,sweets,Standard Class,8573,-199.77,2018-12-01,77041,Texas,2018-11-01
1509,San Francisco,0,139.93,7,West,fynota,Consumer,chocolates,First Class,5550,34.9825,2018-12-01,94109,California,2018-11-01
1510,San Francisco,0,43.68,3,West,kariox,Consumer,battery,First Class,5549,11.7936,2018-12-01,94109,California,2018-11-01
1511,San Francisco,0.15,411.332,4,West,qexty,Home Office,pants,Same Day,5495,-4.8392,2018-11-01,94122,California,2018-11-01
1512,San Francisco,0,41.4,4,West,kariox,Home Office,tablet,Same Day,5494,19.872,2018-11-01,94122,California,2018-11-01
1513,San Francisco,0,7.36,2,West,kariox,Home Office,charger,Same Day,5493,0.1472,2018-11-01,94122,California,2018-11-01
1514,Philadelphia,0.2,5.04,2,East,kariox,Consumer,tablet,Standard Class,1490,1.764,2018-12-01,19143,Pennsylvania,2018-11-01
1515,Mesquite,0.2,5.544,7,Central,fynota,Corporate,chocolates,Standard Class,3710,1.6632,2018-11-01,75150,Texas,2018-11-01
1516,Houston,0.6,19.3,5,Central,qexty,Consumer,shorts,Second Class,79,-14.475,2018-12-01,77070,Texas,2018-11-01
1517,Bloomington,0,169.45,5,Central,kariox,Home Office,laptop,Standard Class,4448,42.3625,2018-11-01,47401,Indiana,2018-11-01
1518,Toledo,0.4,1502.376,4,East,fynota,Consumer,colddrinks,Standard Class,5017,-250.396,2018-11-01,43615,Ohio,2018-11-01
1519,Toledo,0.2,35.168,7,East,qexty,Consumer,shorts,Standard Class,5016,9.6712,2018-11-01,43615,Ohio,2018-11-01
1520,Chicago,0.2,646.2,5,Central,kariox,Consumer,laptop,Standard Class,4058,-8.0775,2018-11-01,60610,Illinois,2018-11-01
1521,Columbus,0.3,611.058,3,East,qexty,Corporate,tshirts,Same Day,3835,-34.9176,2018-11-01,43229,Ohio,2018-11-01
1522,Columbus,0.4,1049.97,5,East,fynota,Corporate,colddrinks,Same Day,3834,-209.994,2018-11-01,43229,Ohio,2018-11-01
1523,Sacramento,0.2,120.712,1,West,qexty,Consumer,tshirts,Second Class,2367,-18.1068,2018-11-01,95823,California,2018-11-01
1524,Saint Louis,0,111.79,7,Central,fynota,Consumer,chocolates,Second Class,2152,43.5981,2018-11-01,63116,Missouri,2018-11-01
1525,Jackson,0,151.92,4,Central,kariox,Corporate,television,Standard Class,6315,45.576,2018-11-01,49201,Michigan,2018-11-01
1526,Seattle,0,197.58,2,West,kariox,Corporate,laptop,Standard Class,1188,53.3466,2018-11-01,98103,Washington,2018-11-01
1527,Seattle,0,485.88,6,West,kariox,Corporate,laptop,Standard Class,1186,9.7176,2018-11-01,98103,Washington,2018-11-01
1528,Seattle,0.2,12.096,7,West,kariox,Corporate,headset,Standard Class,1185,4.2336,2018-11-01,98103,Washington,2018-11-01
1529,San Diego,0,151.72,4,West,qexty,Consumer,shorts,First Class,1011,27.3096,2018-11-01,92037,California,2018-11-01
1530,Cincinnati,0.2,2.624,1,East,kariox,Consumer,television,First Class,389,0.4264,2018-11-01,45231,Ohio,2018-11-01
1531,Detroit,0,14.67,3,Central,kariox,Consumer,headset,Standard Class,9628,6.7482,2018-11-01,48227,Michigan,2018-11-01
1532,Houston,0.3,155.372,2,Central,qexty,Corporate,tshirts,Second Class,7266,-35.5136,2018-11-01,77095,Texas,2018-11-01
1533,Scottsdale,0.2,23.472,3,West,kariox,Consumer,watch,Standard Class,7101,8.802,2018-11-01,85254,Arizona,2018-11-01
1534,Seattle,0,25.92,4,West,kariox,Corporate,phone,Standard Class,1187,12.4416,2018-11-01,98103,Washington,2018-11-01
1535,Los Angeles,0,7.44,3,West,kariox,Consumer,television,Standard Class,7623,2.604,2018-11-01,90004,California,2018-11-01
1536,Jackson,0,196.62,2,Central,kariox,Corporate,tablet,Standard Class,6316,96.3438,2018-11-01,49201,Michigan,2018-11-01
1537,Jackson,0,15.96,2,Central,kariox,Corporate,phone,Standard Class,6318,7.98,2018-11-01,49201,Michigan,2018-11-01
1538,Los Angeles,0.2,539.92,5,West,fynota,Consumer,colddrinks,Standard Class,7621,47.243,2018-11-01,90004,California,2018-11-01
1539,Springfield,0.2,51.016,7,West,kariox,Consumer,television,Standard Class,6362,8.2901,2018-11-01,97477,Oregon,2018-11-01
1540,New York City,0.2,275.952,3,East,qexty,Home Office,pants,Second Class,4728,-37.9434,2018-11-01,10009,New York,2018-11-01
1541,New York City,0,1117.92,4,East,kariox,Home Office,laptop,Second Class,4727,55.896,2018-11-01,10009,New York,2018-11-01
1542,Woonsocket,0,52.96,2,East,qexty,Consumer,shorts,Second Class,3990,20.1248,2018-11-01,2895,Rhode Island,2018-11-01
1543,Arlington,0.6,6.096,3,Central,qexty,Corporate,shorts,Standard Class,2613,-3.9624,2018-11-01,76017,Texas,2018-11-01
1544,Arlington,0.2,15.696,3,Central,kariox,Corporate,phone,Standard Class,2612,5.1012,2018-11-01,76017,Texas,2018-11-01
1545,Jackson,0,144.12,3,Central,kariox,Corporate,phone,Standard Class,6317,69.1776,2018-11-01,49201,Michigan,2018-11-01
1546,Arlington,0.2,5.904,2,Central,kariox,Corporate,tablet,Standard Class,2611,1.9926,2018-11-01,76017,Texas,2018-11-01
1547,Arlington,0.2,2.52,1,Central,kariox,Corporate,tablet,Standard Class,2609,0.882,2018-11-01,76017,Texas,2018-11-01
1548,Arlington,0.2,24.672,3,Central,fynota,Corporate,chocolates,Standard Class,2608,0,2018-11-01,76017,Texas,2018-11-01
1549,Brentwood,0,26.76,4,West,kariox,Corporate,phone,Second Class,1986,12.3096,2018-11-01,94513,California,2018-11-01
1550,Brentwood,0,23.88,3,West,qexty,Corporate,shorts,Second Class,1985,10.5072,2018-11-01,94513,California,2018-11-01
1551,Brentwood,0,320.88,6,West,kariox,Corporate,battery,Second Class,1984,93.0552,2018-11-01,94513,California,2018-11-01
1552,Akron,0.7,5.742,3,East,kariox,Home Office,headset,Standard Class,9922,-4.5936,2018-11-01,44312,Ohio,2018-11-01
1553,Virginia Beach,0,111.15,5,South,qexty,Home Office,shorts,Standard Class,7143,48.906,2018-11-01,23464,Virginia,2018-11-01
1554,Arlington,0.3,1218.735,5,Central,qexty,Corporate,hoodies,Standard Class,2610,-121.8735,2018-11-01,76017,Texas,2018-11-01
1555,Bloomington,0,29.12,4,Central,kariox,Home Office,headset,Standard Class,4447,14.2688,2018-11-01,47401,Indiana,2018-11-01
1556,Fairfield,0.4,9.588,2,East,fynota,Consumer,colddrinks,Second Class,4909,-2.0774,2018-11-01,45014,Ohio,2018-11-01
1557,Bloomington,0,78.35,5,Central,kariox,Home Office,watch,Standard Class,4445,36.8245,2018-11-01,47401,Indiana,2018-11-01
1558,Los Angeles,0,19.44,3,West,kariox,Consumer,phone,Standard Class,4312,9.3312,2018-11-01,90045,California,2018-11-01
1559,Los Angeles,0.2,21.936,3,West,kariox,Consumer,headset,Standard Class,4311,8.226,2018-11-01,90045,California,2018-11-01
1560,Los Angeles,0.2,573.728,4,West,qexty,Consumer,hoodies,Standard Class,4310,-64.5444,2018-11-01,90045,California,2018-11-01
1561,Los Angeles,0.2,666.344,7,West,fynota,Consumer,colddrinks,Standard Class,4309,66.6344,2018-11-01,90045,California,2018-11-01
1562,San Diego,0,35.34,2,West,qexty,Consumer,shorts,Standard Class,2743,13.4292,2018-11-01,92037,California,2018-11-01
1563,Cary,0.2,58.24,5,South,kariox,Corporate,battery,Second Class,2722,5.096,2018-11-01,27511,North Carolina,2018-11-01
1564,Cary,0.2,8.376,3,South,kariox,Corporate,lighting,Second Class,2721,2.7222,2018-11-01,27511,North Carolina,2018-11-01
1565,Los Angeles,0.2,447.968,4,West,fynota,Consumer,sweets,Standard Class,4313,139.99,2018-11-01,90045,California,2018-11-01
1566,New York City,0,43.57,1,East,kariox,Home Office,laptop,Standard Class,322,13.071,2018-11-01,10024,New York,2018-11-01
1567,New York City,0,275.94,6,East,fynota,Home Office,colddrinks,Standard Class,320,80.0226,2018-11-01,10024,New York,2018-11-01
1568,New York City,0,3991.98,2,East,fynota,Home Office,sweets,Standard Class,319,1995.99,2018-11-01,10024,New York,2018-11-01
1569,New York City,0.1,135.882,1,East,qexty,Home Office,tshirts,Standard Class,318,24.1568,2018-11-01,10024,New York,2018-11-01
1570,Los Angeles,0,6.72,4,West,kariox,Home Office,television,Same Day,9229,3.36,2018-11-01,90049,California,2018-11-01
1571,Omaha,0,89.97,3,Central,fynota,Corporate,chocolates,Standard Class,9078,18.8937,2018-11-01,68104,Nebraska,2018-11-01
1572,Orange,0,5.76,2,East,kariox,Corporate,headset,Second Class,8979,2.8224,2018-11-01,7050,New Jersey,2018-11-01
1573,Jacksonville,0.2,410.352,3,South,qexty,Consumer,shorts,Standard Class,6433,-51.294,2018-11-01,28540,North Carolina,2018-11-01
1574,New York City,0,360,4,East,fynota,Home Office,chocolates,Standard Class,321,129.6,2018-11-01,10024,New York,2018-11-01
1575,Jacksonville,0.7,14.301,7,South,kariox,Consumer,headset,Standard Class,6432,-10.4874,2018-11-01,28540,North Carolina,2018-11-01
1576,New York City,0.2,52.064,4,East,kariox,Home Office,headset,Standard Class,4996,18.8732,2018-11-01,10011,New York,2018-11-01
1577,Los Angeles,0,20.04,6,West,qexty,Home Office,shorts,Standard Class,6684,8.8176,2018-11-01,90008,California,2018-11-01
1578,Wausau,0,36.63,3,Central,kariox,Consumer,laptop,Standard Class,4832,9.8901,2018-11-01,54401,Wisconsin,2018-11-01
1579,Wausau,0,245.88,6,Central,kariox,Consumer,battery,Standard Class,4831,68.8464,2018-11-01,54401,Wisconsin,2018-11-01
1580,Houston,0.2,40.712,7,Central,kariox,Consumer,charger,Standard Class,4783,3.5623,2018-11-01,77070,Texas,2018-11-01
1581,Houston,0.8,1.476,3,Central,kariox,Consumer,headset,Standard Class,4782,-2.214,2018-11-01,77070,Texas,2018-11-01
1582,Houston,0.3,683.144,4,Central,qexty,Consumer,tshirts,Standard Class,4781,0,2018-11-01,77070,Texas,2018-11-01
1583,San Francisco,0.2,123.144,7,West,kariox,Consumer,headset,Standard Class,4729,46.179,2018-11-01,94110,California,2018-11-01
1584,Houston,0.2,74.352,3,Central,kariox,Corporate,watch,First Class,3187,26.9526,2018-11-01,77041,Texas,2018-11-01
1585,Long Beach,0,2.94,1,West,kariox,Corporate,television,Standard Class,5654,0.7938,2018-11-01,90805,California,2018-11-01
1586,Houston,0.8,26.046,3,Central,kariox,Corporate,headset,First Class,3186,-44.2782,2018-11-01,77041,Texas,2018-11-01
1587,Hampton,0,149.9,5,South,qexty,Consumer,tshirts,Same Day,9787,40.473,2018-11-01,23666,Virginia,2018-11-01
1588,Philadelphia,0.2,58.416,2,East,fynota,Consumer,chocolates,Standard Class,9715,16.7946,2018-11-01,19143,Pennsylvania,2018-11-01
1589,Philadelphia,0.2,51.56,5,East,fynota,Consumer,chocolates,Standard Class,9714,-6.445,2018-11-01,19143,Pennsylvania,2018-11-01
1590,Philadelphia,0.2,1080.096,6,East,kariox,Consumer,laptop,Standard Class,9713,-94.5084,2018-11-01,19143,Pennsylvania,2018-11-01
1591,Philadelphia,0.7,13.194,2,East,kariox,Consumer,headset,Standard Class,9712,-8.796,2018-11-01,19143,Pennsylvania,2018-11-01
1592,Philadelphia,0.2,273.568,2,East,qexty,Consumer,shorts,Standard Class,9711,-34.196,2018-11-01,19143,Pennsylvania,2018-11-01
1593,Arlington,0,47.79,3,South,fynota,Home Office,chocolates,Standard Class,8683,16.2486,2018-11-01,22204,Virginia,2018-11-01
1594,Columbus,0,43.68,6,South,kariox,Consumer,phone,Standard Class,9857,20.9664,2018-11-01,31907,Georgia,2018-11-01
1595,Jacksonville,0.4,945.036,6,South,qexty,Consumer,hoodies,Standard Class,6431,-299.2614,2018-11-01,28540,North Carolina,2018-11-01
1596,Jacksonville,0.2,25.984,2,South,kariox,Consumer,laptop,Standard Class,6430,-1.624,2018-11-01,28540,North Carolina,2018-11-01
1597,Nashville,0.2,143.856,9,South,kariox,Consumer,phone,Standard Class,6267,48.5514,2018-11-01,37211,Tennessee,2018-11-01
1598,Long Beach,0,31.68,6,East,qexty,Consumer,shorts,Standard Class,7561,9.8208,2018-11-01,11561,New York,2018-11-01
1599,Long Beach,0,167.94,3,East,kariox,Consumer,phone,Standard Class,7560,82.2906,2018-11-01,11561,New York,2018-11-01
1600,Long Beach,0,533.94,3,East,kariox,Consumer,battery,Standard Class,7559,154.8426,2018-11-01,11561,New York,2018-11-01
1601,Los Angeles,0,21.4,5,West,kariox,Home Office,phone,Standard Class,5897,9.63,2018-11-01,90049,California,2018-11-01
1602,Los Angeles,0,44.4,3,West,kariox,Home Office,tablet,Standard Class,5896,22.2,2018-11-01,90049,California,2018-11-01
1603,Bloomington,0,31.68,6,Central,kariox,Home Office,phone,Standard Class,4446,14.256,2018-11-01,47401,Indiana,2018-11-01
1604,Richmond,0,69.52,2,South,kariox,Corporate,laptop,Standard Class,4828,19.4656,2018-11-01,40475,Kentucky,2018-11-01
1605,Orange,0,76.12,2,East,kariox,Corporate,battery,Standard Class,8389,22.0748,2018-11-01,7050,New Jersey,2018-11-01
1606,Chicago,0.2,15.696,3,Central,kariox,Corporate,phone,Standard Class,4159,5.1012,2018-11-01,60610,Illinois,2018-11-01
1607,Charlotte,0.2,47.808,12,South,kariox,Corporate,tablet,Standard Class,4068,15.5376,2018-11-01,28205,North Carolina,2018-11-01
1608,Charlotte,0.2,10.272,3,South,kariox,Corporate,television,Standard Class,4067,0.8988,2018-11-01,28205,North Carolina,2018-11-01
1609,Charlotte,0.2,7.52,5,South,kariox,Corporate,lighting,Standard Class,4066,1.41,2018-11-01,28205,North Carolina,2018-11-01
1610,Portland,0.2,155.976,3,West,fynota,Consumer,colddrinks,Standard Class,2833,54.5916,2018-11-01,97206,Oregon,2018-11-01
1611,Portland,0.2,443.92,5,West,kariox,Consumer,laptop,Standard Class,2832,-94.333,2018-11-01,97206,Oregon,2018-11-01
1612,Denver,0.2,1983.968,4,West,fynota,Consumer,colddrinks,Standard Class,807,247.996,2018-11-01,80219,Colorado,2018-11-01
1613,Denver,0.2,43.176,3,West,kariox,Consumer,television,Standard Class,806,4.3176,2018-11-01,80219,Colorado,2018-11-01
1614,Charlotte,0.2,978.84,9,South,fynota,Corporate,colddrinks,Standard Class,4069,110.1195,2018-11-01,28205,North Carolina,2018-11-01
1615,Mason,0.2,68.704,2,East,qexty,Corporate,shorts,First Class,9869,16.3172,2018-11-01,45040,Ohio,2018-11-01
1616,Mason,0.7,3.132,2,East,kariox,Corporate,headset,First Class,9870,-2.61,2018-11-01,45040,Ohio,2018-11-01
1617,Mason,0.7,22.428,3,East,kariox,Corporate,headset,First Class,9871,-17.9424,2018-11-01,45040,Ohio,2018-11-01
1618,Nashville,0.2,3.488,2,South,kariox,Consumer,phone,Standard Class,6266,1.1772,2018-11-01,37211,Tennessee,2018-11-01
1619,Fairfield,0,11.64,3,East,kariox,Consumer,charger,Standard Class,5706,3.3756,2018-11-01,6824,Connecticut,2018-11-01
1620,New York City,0.2,7.856,2,East,kariox,Consumer,headset,Standard Class,4761,2.8478,2018-11-01,10009,New York,2018-11-01
1621,New York City,0.2,48.896,2,East,kariox,Consumer,headset,Standard Class,4760,18.336,2018-11-01,10009,New York,2018-11-01
1622,New York City,0,783.96,4,East,fynota,Consumer,colddrinks,Standard Class,4759,219.5088,2018-11-01,10009,New York,2018-11-01
1623,Lancaster,0.2,286.344,3,East,kariox,Consumer,charger,Standard Class,3991,-64.4274,2018-11-01,17602,Pennsylvania,2018-11-01
1624,Seattle,0.2,52.792,1,West,fynota,Corporate,colddrinks,Second Class,7578,4.6193,2018-11-01,98115,Washington,2018-11-01
1625,Seattle,0,41.94,2,West,fynota,Corporate,chocolates,Second Class,7577,15.0984,2018-11-01,98115,Washington,2018-11-01
1626,San Francisco,0,362.92,2,West,kariox,Consumer,laptop,Standard Class,7508,105.2468,2018-11-01,94122,California,2018-11-01
1627,San Francisco,0.2,46.384,2,West,fynota,Consumer,colddrinks,Standard Class,7507,5.2182,2018-11-01,94122,California,2018-11-01
1628,Fort Lauderdale,0.2,799.92,10,South,fynota,Home Office,chocolates,Standard Class,7277,239.976,2018-11-01,33311,Florida,2018-11-01
1629,Medina,0.7,19.242,3,East,kariox,Consumer,headset,Standard Class,6504,-13.4694,2018-11-01,44256,Ohio,2018-11-01
1630,Medina,0.4,50.232,7,East,fynota,Consumer,colddrinks,Standard Class,6503,-10.0464,2018-11-01,44256,Ohio,2018-11-01
1631,Medina,0.4,539.964,6,East,fynota,Consumer,colddrinks,Standard Class,6502,-107.9928,2018-11-01,44256,Ohio,2018-11-01
1632,Irving,0.2,88.776,3,Central,fynota,Consumer,colddrinks,Standard Class,6228,7.7679,2018-11-01,75061,Texas,2018-11-01
1633,New York City,0,89.34,6,East,qexty,Consumer,shorts,Standard Class,4525,24.1218,2018-11-01,10024,New York,2018-11-01
1634,New York City,0,34.86,7,East,kariox,Consumer,tablet,Standard Class,4524,16.0356,2018-11-01,10024,New York,2018-11-01
1635,Wausau,0,22.58,2,Central,kariox,Consumer,laptop,Standard Class,4833,5.8708,2018-11-01,54401,Wisconsin,2018-11-01
1636,Wausau,0,12.39,3,Central,kariox,Consumer,headset,Standard Class,4834,5.8233,2018-11-01,54401,Wisconsin,2018-11-01
1637,Richmond,0,5.64,3,South,kariox,Corporate,television,Standard Class,4829,1.6356,2018-11-01,40475,Kentucky,2018-11-01
1638,New York City,0,30.18,3,East,kariox,Corporate,phone,First Class,6982,13.8828,2018-11-01,10024,New York,2018-11-01
1639,Houston,0.2,36.288,7,Central,kariox,Corporate,phone,Standard Class,5554,12.7008,2018-11-01,77036,Texas,2018-11-01
1640,Houston,0.2,79.512,3,Central,fynota,Corporate,chocolates,Standard Class,5553,20.8719,2018-11-01,77036,Texas,2018-11-01
1641,Houston,0.2,16.656,6,Central,kariox,Corporate,charger,Standard Class,5552,-3.123,2018-11-01,77036,Texas,2018-11-01
1642,Houston,0.2,2.672,1,Central,kariox,Corporate,television,Standard Class,5551,0.334,2018-11-01,77036,Texas,2018-11-01
1643,Asheville,0.2,7.872,3,South,kariox,Corporate,television,Second Class,3966,0.8856,2018-11-01,28806,North Carolina,2018-11-01
1644,Los Angeles,0.2,629.064,3,West,qexty,Consumer,hoodies,Standard Class,2414,31.4532,2018-11-01,90045,California,2018-11-01
1645,Los Angeles,0,11.96,2,West,kariox,Consumer,phone,Standard Class,2413,5.8604,2018-11-01,90045,California,2018-11-01
1646,Houston,0.32,67.9932,1,Central,qexty,Corporate,pants,Standard Class,5555,-12.9987,2018-11-01,77036,Texas,2018-11-01
1647,San Antonio,0.2,49.632,4,Central,kariox,Consumer,laptop,Same Day,1863,4.9632,2018-11-01,78207,Texas,2018-11-01
1648,New Rochelle,0,223.92,4,East,kariox,Home Office,phone,Standard Class,9958,109.7208,2018-11-01,10801,New York,2018-11-01
1649,New Rochelle,0,46.35,5,East,kariox,Home Office,phone,Standard Class,9957,21.7845,2018-11-01,10801,New York,2018-11-01
1650,Chicago,0.3,797.944,4,Central,qexty,Consumer,tshirts,Standard Class,9749,-56.996,2018-11-01,60653,Illinois,2018-11-01
